image_name,concept,explanation
2fcf9656a6a623c7b8443f9c4da3b35a,transformation,"the mango is whole and untouched, representing its raw potential. the knife symbolises the tool for transformation."
2fcf9656a6a623c7b8443f9c4da3b35a,wrong place,the mango should be on a chopping board to be cut and not on a plate. suggesting ill preparation.
2fe5e35baf916039fffec7eb3b5f8c9d,calm,water flows calmly and it soothes the heart
2fe5e35baf916039fffec7eb3b5f8c9d,cold,"mountain water, fresh, cool."
2fe5e35baf916039fffec7eb3b5f8c9d,connection,"the untouched natural beauty invites a sense of belonging, reminding me of how deeply connected we are to the earth and its rhythms."
2fe5e35baf916039fffec7eb3b5f8c9d,fishing,trout and salmon.
2fe5e35baf916039fffec7eb3b5f8c9d,isolated,area seems to be enclosed and away from busy civilian life.
2fe5e35baf916039fffec7eb3b5f8c9d,isolation,"the ponds remote location, surrounded by dense vegetation , conveys a sense of isolation."
2fe5e35baf916039fffec7eb3b5f8c9d,natural,river and trees show it is in a natural space and untouched.
2fe5e35baf916039fffec7eb3b5f8c9d,nature,"the image conveys the natural environment, showcasing a good surrounded by greenery and trees."
2fe5e35baf916039fffec7eb3b5f8c9d,nature,a constant interaction between living things
2fe5e35baf916039fffec7eb3b5f8c9d,nature,"green wilderness, flowing river"
2fe5e35baf916039fffec7eb3b5f8c9d,renewal,"the clear, rushing water feels like a symbol of cleansing and starting fresh, washing away the weight of the past."
2fe5e35baf916039fffec7eb3b5f8c9d,serene,colours have a calming effect.
2fe5e35baf916039fffec7eb3b5f8c9d,serenity,"the gentle flow of the river and the lush green surroundings create a peaceful and calming atmosphere, perfect for quiet reflection."
2fe5e35baf916039fffec7eb3b5f8c9d,stagnation,"water appears to be flowing with algae growth and murky water, symbolizing stagnation."
2fe5e35baf916039fffec7eb3b5f8c9d,warm,the atmosphere feels really warm to the skin
3136641b25be944077f85fc88f34128,celebration,there is display flowers.
3136641b25be944077f85fc88f34128,death,the image of a wreath signifies respect for the deceased.
3136641b25be944077f85fc88f34128,focused,the people are looking serious.
3136641b25be944077f85fc88f34128,honoring the fallen,the wreath is a symbol of remembrance and respect for those who have died in service
3136641b25be944077f85fc88f34128,military,the uniform won by by the crowd suggest a military dorce.
3136641b25be944077f85fc88f34128,mourning,the atmosphere the mood of mourning.
3136641b25be944077f85fc88f34128,organized,an organized and structured day
3136641b25be944077f85fc88f34128,remembrance,the tribute emphasizing the importance of preserving the memory of the deceased.
3136641b25be944077f85fc88f34128,remembrance day,a day of remembrance for peope to come together and remember.
3136641b25be944077f85fc88f34128,respect,the solemnity of the procession reflects the dignity and reverence given to the individual.
3136641b25be944077f85fc88f34128,sacrifice,"the reality of service, acknowledging the personal costs associating with duty."
3136641b25be944077f85fc88f34128,sacrifice and service,the image suggests that the people in the image are willing to make sacrifices for a greater cause.
3136641b25be944077f85fc88f34128,security,there is the presence of army officials.
3136641b25be944077f85fc88f34128,sunny,the day is clear and sunny.
3136641b25be944077f85fc88f34128,unity and camaraderie,"the group of people in the image are standing together, which suggest that they are united in their purpose"
31817e4b62646f7cb944220e12dabd,adverse,the thought of working for someone other than one's self feels appalling.
31817e4b62646f7cb944220e12dabd,advertisement,very interesting advert
31817e4b62646f7cb944220e12dabd,credibility,no credible source.
31817e4b62646f7cb944220e12dabd,fatigue,"looking for work is a long and tiring process, and this image brings you back to it."
31817e4b62646f7cb944220e12dabd,fraud,this might be a fraud.
31817e4b62646f7cb944220e12dabd,free ad,job offers with salary allocation
31817e4b62646f7cb944220e12dabd,imprisoned,"the image displays an employment ad, meant to trap another human into indentured slavery."
31817e4b62646f7cb944220e12dabd,job offer,advertisement indicating job offers
31817e4b62646f7cb944220e12dabd,lackluster,the ad is basic and lacks any flare.
31817e4b62646f7cb944220e12dabd,opportunity,this seems like a great opportunity given the specifications listed on the sheet.
31817e4b62646f7cb944220e12dabd,seniority,"an offer like this strikes me as something an older/ more knowing person would receive, as opposed to a new grad."
31817e4b62646f7cb944220e12dabd,suspicion,"this offer seems to good to be true, not listing any responsibilities only the positive things."
31817e4b62646f7cb944220e12dabd,technology,"this letter is clearly an email, and was probably opened on a pc or laptop, giving a sense of technology and there is nothing natural in this image."
31817e4b62646f7cb944220e12dabd,untrustworthy,"the letter looks like a scam, with offers that feel too good to be true. the lack of details of the job or who its from/who its too makes it feel fake."
31817e4b62646f7cb944220e12dabd,urgency,trying to act too quick.
319c1bcd125a8a9f27baeec9c1901e,abandoned,no one can be seen around to help the family.
319c1bcd125a8a9f27baeec9c1901e,care,the woman⊙s posture and focus on the child reflect attentiveness and affection.
319c1bcd125a8a9f27baeec9c1901e,forlorn,they seem to be lost and deserted - not in an environment for children.
319c1bcd125a8a9f27baeec9c1901e,historical,looks like an old photo due to the quality and colouring
319c1bcd125a8a9f27baeec9c1901e,hope,"theirs a bleak of hope in the mothers eye, as she stares down and looks at her baby gently sleeping."
319c1bcd125a8a9f27baeec9c1901e,maternal,mom holding baby and looking down fondly
319c1bcd125a8a9f27baeec9c1901e,nostalgia,the sepia tones and style of the image evoke a sense of the past or historical memory.
319c1bcd125a8a9f27baeec9c1901e,poverty,an old photo displaying a woman and her child outside a wagon.
319c1bcd125a8a9f27baeec9c1901e,protection,the positioning of the woman and the way she shields the child suggest a protective instinct.
319c1bcd125a8a9f27baeec9c1901e,retro,old-time wagon and sepia tones
319c1bcd125a8a9f27baeec9c1901e,safety,baby comfortable resting in mom's lap
319c1bcd125a8a9f27baeec9c1901e,somber,the mother is alone with her baby and is not smiling
319c1bcd125a8a9f27baeec9c1901e,travel,large transport wagon behind them
319c1bcd125a8a9f27baeec9c1901e,uncertain,"woman seems uncertain, but the only thing on her mind is her child, and trying to find a better life, or get through the day/"
319c1bcd125a8a9f27baeec9c1901e,waiting,family shown outside and exposed to harsh weather conditions.
31b1961569eefe2b25dcb5dbab828b3,broadcast,"the visible camera indicates that the event is being recorded or broadcasted, emphasizing the concept of broadcast."
31b1961569eefe2b25dcb5dbab828b3,debate,the placement of the moderator and two men gives off a feeling of odds.
31b1961569eefe2b25dcb5dbab828b3,discussion,"the image conveys the idea of discussion as three individuals are seated on a stage, engaged in a formal conversation."
31b1961569eefe2b25dcb5dbab828b3,discussion,the three people sitting and responding to questions suggest an active conversation or exchange of ideas.
31b1961569eefe2b25dcb5dbab828b3,formality,"the setting and posture indicate a formal atmosphere, typical of a press conference or forum."
31b1961569eefe2b25dcb5dbab828b3,patriotism,the usa flags behind them emphasize a sense of national pride and connection to the country.
31b1961569eefe2b25dcb5dbab828b3,policy,the presence of the center for american progress backdrop suggests the topic of the discussion is related to policy or research.
31b1961569eefe2b25dcb5dbab828b3,politics,"the background, flags, and suits make this appear to be a political event."
31b1961569eefe2b25dcb5dbab828b3,politics,given the flags and set up this looks political.
31b1961569eefe2b25dcb5dbab828b3,presidential,"serious meetings, nervous people"
31b1961569eefe2b25dcb5dbab828b3,press conference,the people onstage seem to be addressing the press.
31b1961569eefe2b25dcb5dbab828b3,professional,suits and ties and speeches
31b1961569eefe2b25dcb5dbab828b3,tense,everything has to go right
31b1961569eefe2b25dcb5dbab828b3,tv,the platform and camera make this seem it is filmed.
31b1961569eefe2b25dcb5dbab828b3,usa,the flags represent the usa.
31f033546ea14362fca24e9c26c3d476,age,the age difference between the younger man and the elderly woman is glaring
31f033546ea14362fca24e9c26c3d476,busy,the retailer appears to be busy as he attends to the woman in front of him.
31f033546ea14362fca24e9c26c3d476,coexistence,two different backgrounds living in harmony.
31f033546ea14362fca24e9c26c3d476,commerce,the image conveys scene of the act of buying nd selling.
31f033546ea14362fca24e9c26c3d476,community,the kiosk serves as a way to foster social bonds and exchange
31f033546ea14362fca24e9c26c3d476,cordial,the scene as shown in the image conveys a mutual relationship.
31f033546ea14362fca24e9c26c3d476,humanity,people working together.
31f033546ea14362fca24e9c26c3d476,interest,both the man and woman seem interested in what the man is writing.
31f033546ea14362fca24e9c26c3d476,market,the image shows a market with a customer and a seller
31f033546ea14362fca24e9c26c3d476,market,they appearing to exchanging goods and services
31f033546ea14362fca24e9c26c3d476,perseverance,a business is run in the worst of conditions.
31f033546ea14362fca24e9c26c3d476,poverty,the image shows poverty as the background looks low-class
31f033546ea14362fca24e9c26c3d476,satisfaction,the image shows this by the expression of the sellers face
31f033546ea14362fca24e9c26c3d476,shop,this image conveys sales as the man appear to be a retailer.
31f033546ea14362fca24e9c26c3d476,weather,"the image shows a sunny day, yet looks cool."
3241afdbd746da8999b20212ef17e5b,busy,the area looks very busy
3241afdbd746da8999b20212ef17e5b,community,"the image shows a group of people interacting with each other, suggesting a sense of community."
3241afdbd746da8999b20212ef17e5b,creativity,the presence of guitar player reflects artistic expression and engagement through music.
3241afdbd746da8999b20212ef17e5b,crowd,comprises of children being monitored.
3241afdbd746da8999b20212ef17e5b,function,the people seems attentive of some events.
3241afdbd746da8999b20212ef17e5b,happiness,the people are enjoying some music.
3241afdbd746da8999b20212ef17e5b,joy,"the people in the image appear to be smiling and laughing, suggesting that they are enjoying themselves."
3241afdbd746da8999b20212ef17e5b,joy,"the casual atmosphere, music and interaction suggest a moment of happiness and relaxation."
3241afdbd746da8999b20212ef17e5b,kids,a group of kids playing musical instruments.
3241afdbd746da8999b20212ef17e5b,music,"the image shows a person playing guitar, suggesting that music is a part of the community."
3241afdbd746da8999b20212ef17e5b,musical instrument,the guitar and flute indicates a form of entertainment.
3241afdbd746da8999b20212ef17e5b,nature,the presence of trees and bananas indicates a natural beauty.
3241afdbd746da8999b20212ef17e5b,nature,the background of greenery emphasizes a connection to the natural environment.
3241afdbd746da8999b20212ef17e5b,religion,the girls seems to be wearing hijabs.
3241afdbd746da8999b20212ef17e5b,sunny weather,the day looks very sunny
326177238d7e513953c514cda4a2baa,addiction,even the warning messages on the packaging doesn't deter a true addict.
326177238d7e513953c514cda4a2baa,addiction,"the cigarette-related items suggest a dependence on smoking, highlighting the struggle and challenges of overcoming harmful habits."
326177238d7e513953c514cda4a2baa,adult,"the image portrays cigarette packages, which are only for adults. it makes me think quite strongly that this shouldn't be for children."
326177238d7e513953c514cda4a2baa,clutter,"these tins make me think that it is not useful, and should be thrown out."
326177238d7e513953c514cda4a2baa,design,tins with patterns from cigarette cartons
326177238d7e513953c514cda4a2baa,design,this shows different ways to advertise and promote similar products.
326177238d7e513953c514cda4a2baa,environment,are these the new cigarette cases designed to be reused and recycled. the cigarette stubs will be thrown onto the ground but the packets won't.
326177238d7e513953c514cda4a2baa,health,cigarette cases with bright appealing colors. each pot is full of impending death.
326177238d7e513953c514cda4a2baa,humour,exaggerated wordings on tins
326177238d7e513953c514cda4a2baa,nostalgia,"the vintage designs and branding evoke memories and sentimental feelings, reminding viewers of past cultural associations with smoking."
326177238d7e513953c514cda4a2baa,rebellion,"the bold packaging and branding represent defiance and nonconformity, symbolizing a lifestyle that challenges societal norms about health."
326177238d7e513953c514cda4a2baa,smoking,these products are all related to different cigarette brands.
326177238d7e513953c514cda4a2baa,style,taking designs to new arena
326177238d7e513953c514cda4a2baa,upset,"the bright colours try to detract from the bad nature of cigarettes, but my original reaction was upset and disgust."
326177238d7e513953c514cda4a2baa,vice,"this shows nicotine products, which are generally something that people get addicted to."
32859fbb1eb8ebf3de0dacb66266f,adventure,"the image conveys the promise of exploration and new experiences, with the cruise ship symbolizing a gateway to exciting journeys."
32859fbb1eb8ebf3de0dacb66266f,anticipation,"the setting sun and docked ship create a feeling of waiting and readiness, as if the journey is about to begin."
32859fbb1eb8ebf3de0dacb66266f,contrast,a large boat vs a car shows the contrast between land and sea.
32859fbb1eb8ebf3de0dacb66266f,contrast,blue sky vs red road
32859fbb1eb8ebf3de0dacb66266f,cruise,the large cruise ship at the shore represents the luxury and adventure of sea travel.
32859fbb1eb8ebf3de0dacb66266f,elderly,"cruises are often popular among elderly travelers, evoking a sense of relaxation and comfort."
32859fbb1eb8ebf3de0dacb66266f,foreboding,large impressive ship looming
32859fbb1eb8ebf3de0dacb66266f,impressive,a man made feat of the ocean
32859fbb1eb8ebf3de0dacb66266f,luxury,"the grand size and illuminated design of the ship evoke a sense of comfort and opulence, highlighting the idea of indulgence."
32859fbb1eb8ebf3de0dacb66266f,ocean travel,there is a picture of a large ship
32859fbb1eb8ebf3de0dacb66266f,port,"the cruise ship's location at the shore suggests it has docked at a port, ready for departure or arrival."
32859fbb1eb8ebf3de0dacb66266f,scary,boarding a potentially new experience
32859fbb1eb8ebf3de0dacb66266f,size,the ship dwarfs cars and structures alongside it.
32859fbb1eb8ebf3de0dacb66266f,vacation,people take holidays on cruise ships.
32859fbb1eb8ebf3de0dacb66266f,wealth,that ship is definitely very expensive to board.
329378299efc5d48aa3f46f8323ac29,adventure,"i feel an adventure here, a challenge and an opportunity to rise to the top and be number one."
329378299efc5d48aa3f46f8323ac29,adventure,areas of interest or high lighted pathways to discover.
329378299efc5d48aa3f46f8323ac29,advertisement,the picture is to entice customers
329378299efc5d48aa3f46f8323ac29,alaska,"this image made me think of alaska straight the way, the setting and the snow forming a major part of the picture."
329378299efc5d48aa3f46f8323ac29,cold,the image shows a cold snowing scene which could make the viewer feel chilly or even wintery/christmas-like because these scenes are associated with those times
329378299efc5d48aa3f46f8323ac29,cold,the feeling of cold shown in this photo is strong enough to make anyone rethink
329378299efc5d48aa3f46f8323ac29,exciting,a sense of adventure is portrayed by the climb to the top with the image showing many dips and peaks
329378299efc5d48aa3f46f8323ac29,exploration,"the image conveys a sense of exploration, encouraging the viewer to want to climb to the top to see the sights listed"
329378299efc5d48aa3f46f8323ac29,explore,the opportunity to explore shown in this photo entices anyone to be a bit more adventurous
329378299efc5d48aa3f46f8323ac29,foreign,the language used on the paper is a language i am unfamiliar with so i would have to guess it is in a different country to where i am.
329378299efc5d48aa3f46f8323ac29,fun,the feeling of fun in this photo could make anyone day brighter
329378299efc5d48aa3f46f8323ac29,icy slope,"this looks like a slippery slope to me, you can either rise to the top, or you can fall down a slippery, windy slope."
329378299efc5d48aa3f46f8323ac29,route,picture shows a pathway to the top of something
329378299efc5d48aa3f46f8323ac29,rugged,the terrain has alot of sharp edges suggesting that it would be tough to explore and potentially covered in snow.
329378299efc5d48aa3f46f8323ac29,weather,the picture appears to show snow and clear sky
329f5c7361e02ad9a0678fd2cdeeb93,bustle,reminds of the hustle and bustle of a lit city.
329f5c7361e02ad9a0678fd2cdeeb93,city,this image seems to depict an apartment in a large city with many lights in the background.
329f5c7361e02ad9a0678fd2cdeeb93,city,the lighting and building indicates a city area.
329f5c7361e02ad9a0678fd2cdeeb93,contrast,"the image juxtaposes the brightly lit building against the dark night sky and distant lights, highlighting differences in light and shadow, as well as potentially contrasting lifestyles (those in the building vs. those in the distant city)."
329f5c7361e02ad9a0678fd2cdeeb93,hope,"it is ambiguous whether this image is taken at dawn or dusk, meaning the sun could be approaching."
329f5c7361e02ad9a0678fd2cdeeb93,island,the location might be an with the water spanning far and wide.
329f5c7361e02ad9a0678fd2cdeeb93,modernity,"the clean lines and design of the building, along with the illuminated cityscape, evoke a sense of contemporary architecture and development."
329f5c7361e02ad9a0678fd2cdeeb93,movie,looks like it could be plucked from a picturesque movie!
329f5c7361e02ad9a0678fd2cdeeb93,peace,the soft cool tones of the sky and the calmness of the water creates a peaceful view
329f5c7361e02ad9a0678fd2cdeeb93,quiet,the lack of both people and daylight make it feel hushed.
329f5c7361e02ad9a0678fd2cdeeb93,reflection,the image seems to capture the mood of reflection and introspection
329f5c7361e02ad9a0678fd2cdeeb93,residential,the construction of those windows and the balcony looks like that of residential houses.
329f5c7361e02ad9a0678fd2cdeeb93,solitude,the building with empty balconies suggests a feeling of isolation
329f5c7361e02ad9a0678fd2cdeeb93,sonder,the setting reminds the viewer of the feeling of sonder
329f5c7361e02ad9a0678fd2cdeeb93,urbanity,"the multi-story building and distant cityscape suggest a developed, urban environment."
329fff4515d7bde86584b79814ada5c,boring,"there's a lot of text to read here, and the subject isn't interesting"
329fff4515d7bde86584b79814ada5c,confusion,the data charts are not easy to read which portrays some confusion around the image.
329fff4515d7bde86584b79814ada5c,fear,the concept of data and being tracked is somewhat scary
329fff4515d7bde86584b79814ada5c,futuristic,the image conveying the ted talk looks to be portrayed by a robot which looks like something from the future.
329fff4515d7bde86584b79814ada5c,information,the images are conveying information/data in a number of ways
329fff4515d7bde86584b79814ada5c,intellectual,the topics look deep and complex
329fff4515d7bde86584b79814ada5c,overwhelmed,there is an overload of information about data which somewhat overwhelming and uncomfortable
329fff4515d7bde86584b79814ada5c,power,the oil rig metaphor implies that those who control the flow of data hold significant power and influence.
329fff4515d7bde86584b79814ada5c,privacy,"the mention of ""mozilla collusion"" and the focus on online tracking brings up concerns about user privacy and the potential for data misuse."
329fff4515d7bde86584b79814ada5c,stress,the information dump is stressful
329fff4515d7bde86584b79814ada5c,teaching,the images are showing explanations
329fff4515d7bde86584b79814ada5c,technical,the elements of the individual sections of the image suggest that the image and data are very technical and not easy to understand.
329fff4515d7bde86584b79814ada5c,tired,it would be tiring to read all of this
329fff4515d7bde86584b79814ada5c,value,"the image directly compares data to oil, a valuable commodity."
329fff4515d7bde86584b79814ada5c,visualization,each image contains a diagram
32feeb9277efcebc2d15a9addeaa097,celebration,the human need for occasion.
32feeb9277efcebc2d15a9addeaa097,church,people gathered for a marriage celebration
32feeb9277efcebc2d15a9addeaa097,commitment,"a wedding ceremony is all about making a promise isn't it, a public declaration of commitment and love between two people starting their married life"
32feeb9277efcebc2d15a9addeaa097,emotion,happy couple getting married.
32feeb9277efcebc2d15a9addeaa097,endearment,the bride looks like she feels so happy to walk down the aisle with them
32feeb9277efcebc2d15a9addeaa097,family,"the presence of what looks like family members in the shot, walking with the happy couple, des highlight the importance of family at such occasions."
32feeb9277efcebc2d15a9addeaa097,happiness,all of the people in the image are smiling as they watch and join in a wedding procession
32feeb9277efcebc2d15a9addeaa097,happy moment,the bride is smiling as
32feeb9277efcebc2d15a9addeaa097,joy,the feeling of joy for all present at the occasion.
32feeb9277efcebc2d15a9addeaa097,parental loving and responsibility,evidence of a bride accompanied by two old people
32feeb9277efcebc2d15a9addeaa097,pride,the mother and father look proud walking their daughter down the aisle
32feeb9277efcebc2d15a9addeaa097,the bond of marriage,the committing of unseen bonds of love symbolised by wedding bands and mating.
32feeb9277efcebc2d15a9addeaa097,tradition,"weddings are very traditional events aren't they, and the church setting and bridal gown really emphasise that sense of long-standing custom."
32feeb9277efcebc2d15a9addeaa097,wedding,the evidence of a bride with her dress and people along her way
32feeb9277efcebc2d15a9addeaa097,wedding,the image convey a bride working down the aisle with her parent by her side.
33664826e4dfa5375fe0a37c40572f5,drought,"some grasses look dry, showing that the drought season is approaching"
33664826e4dfa5375fe0a37c40572f5,environment,the lush greenery and open landscape highlight the beauty and tranquility of the wilderness.
33664826e4dfa5375fe0a37c40572f5,exploration,"the elephant, with its back to the camera and traveling forward portrayed a sense of exploration."
33664826e4dfa5375fe0a37c40572f5,isolation,the lonely elephant looks isolated from it's family.
33664826e4dfa5375fe0a37c40572f5,lonely,"one animal on its own, where are the rest of its heard, has it just been released into the wild?"
33664826e4dfa5375fe0a37c40572f5,majestic,since the elephant looks majestic
33664826e4dfa5375fe0a37c40572f5,nature,the green grasses and the elephants depict nature
33664826e4dfa5375fe0a37c40572f5,perspective,the rear view of the elephant emphasizes its journey and the vastness of the surrounding environment.
33664826e4dfa5375fe0a37c40572f5,pure,a wild animal going about its daily life
33664826e4dfa5375fe0a37c40572f5,scenic,due to the nature of the park
33664826e4dfa5375fe0a37c40572f5,solitude,the lone elephant walking away evokes a sense of peaceful isolation and freedom in its natural habitat.
33664826e4dfa5375fe0a37c40572f5,weight,the image shows weight due to the heavy mass of the elephant in focus.
33664826e4dfa5375fe0a37c40572f5,wild,since this looks like a wild nature
33664826e4dfa5375fe0a37c40572f5,wild,no clear landmarks and just grass and trees suggest this is out in the wild
33664826e4dfa5375fe0a37c40572f5,wilderness,"the overgrown grass demonstrates a wild nature, as if the elephant is lost in the wilderness."
33727ef69dd154fff5ef45f4641f5e,contrast,shows the gap between children's joy and adults busy life and responsibilities.
33727ef69dd154fff5ef45f4641f5e,fun,the subject looks like they're having fun
33727ef69dd154fff5ef45f4641f5e,fun,child is playing
33727ef69dd154fff5ef45f4641f5e,girl,because the child is wearing pink
33727ef69dd154fff5ef45f4641f5e,happiness,the kids happiness reflects pure joy of them playing on the mary go round.
33727ef69dd154fff5ef45f4641f5e,happy,the child is laughing
33727ef69dd154fff5ef45f4641f5e,independence,"the absence of parents or other kids, shows the kids independence."
33727ef69dd154fff5ef45f4641f5e,innocence,"the age of the child is at a time of pure innocence, where children just want to play and enjoy themselves."
33727ef69dd154fff5ef45f4641f5e,joy,the child is enjoying the playground toy
33727ef69dd154fff5ef45f4641f5e,joy,the subject is clearly enjoying themselves
33727ef69dd154fff5ef45f4641f5e,loneliness,the child is playing by themselves on equipment that is meant for more than one child.
33727ef69dd154fff5ef45f4641f5e,outdoors,there is lots going on and it looks like an area of beauty
33727ef69dd154fff5ef45f4641f5e,summer,the clothing and lightness of the picture suggests the photo was taken in the peak of summertime.
33727ef69dd154fff5ef45f4641f5e,sunny,it looks hot and the colours indicate it is summer
33727ef69dd154fff5ef45f4641f5e,warmth,the sunshine creates a degree of warmth
33a662e8e334a2e537f6108bbfe792c4,beauty,the mosaics bring a feeling of awe.
33a662e8e334a2e537f6108bbfe792c4,building,this image conveys a structure of a building.
33a662e8e334a2e537f6108bbfe792c4,elderly,the image shows a number of women who her obviously older based on their looks.
33a662e8e334a2e537f6108bbfe792c4,engagement,there are engagement between the people.
33a662e8e334a2e537f6108bbfe792c4,group,the image shows numbers of people of same gender/
33a662e8e334a2e537f6108bbfe792c4,interest,the people has interest in activities
33a662e8e334a2e537f6108bbfe792c4,modesty,the women are properly covered from head to toe.
33a662e8e334a2e537f6108bbfe792c4,peace,a temple brings relaxation to visitors.
33a662e8e334a2e537f6108bbfe792c4,pretty,the image looks very nice and colorful
33a662e8e334a2e537f6108bbfe792c4,religion,the image looks like a worshipping place
33a662e8e334a2e537f6108bbfe792c4,religion,the image shows a picture of a building that looks like a temple and some.
33a662e8e334a2e537f6108bbfe792c4,religion,the building appears to be a place of prayer
33a662e8e334a2e537f6108bbfe792c4,reverence,a feeling of gratitude and holiness.
33a662e8e334a2e537f6108bbfe792c4,satisfaction,"the people in the image look very happy,"
33a662e8e334a2e537f6108bbfe792c4,segregation,it appears the women are not to enter to worship due to the traditional segregation of men and women in islamic worship.
33af3969583a484a1bf9ccaddceb9ae1,charity,overseas charity work
33af3969583a484a1bf9ccaddceb9ae1,community,children from a locality grouping together.
33af3969583a484a1bf9ccaddceb9ae1,condescension,a rich person giving something because the children need it from them without knowing.
33af3969583a484a1bf9ccaddceb9ae1,curiosity,the wonder and interest on the childrens faces and the way they are gathered around suggests they want to know more.
33af3969583a484a1bf9ccaddceb9ae1,disinterest,the vast majority of the children look disinterested or bored with the proceedings.
33af3969583a484a1bf9ccaddceb9ae1,exchange,those from different cultures can exchange ideas and items.
33af3969583a484a1bf9ccaddceb9ae1,fascination,children engrossed in what they are being shown
33af3969583a484a1bf9ccaddceb9ae1,gift,children taking a gift from someone in the far east.
33af3969583a484a1bf9ccaddceb9ae1,help,dedication to help those less fortunate
33af3969583a484a1bf9ccaddceb9ae1,intrigue,look of intrigue on the faces of surrounding people
33af3969583a484a1bf9ccaddceb9ae1,learning,"education happening outside of a classroom, everyone is fascinated by something that perhaps hasn't been encountered before."
33af3969583a484a1bf9ccaddceb9ae1,missionary work,"helping those in less developed countries, and sharing the gospel"
33af3969583a484a1bf9ccaddceb9ae1,providing aid,provision of things which are as easily sourced in the country
33af3969583a484a1bf9ccaddceb9ae1,teaching,teaching the children
33af3969583a484a1bf9ccaddceb9ae1,teaching,school children learn from a teacher
342444a2be67e66af86173ddfe6ec0ef,amazing,everything here is beautiful.
342444a2be67e66af86173ddfe6ec0ef,art,"the sculpture makes you think about the world and the concepts of things surrounding it,"
342444a2be67e66af86173ddfe6ec0ef,center,center of the universe make me feel small.
342444a2be67e66af86173ddfe6ec0ef,derelict,the lack of people makes the area look like somewhere not very nice to be
342444a2be67e66af86173ddfe6ec0ef,design,the architect is very innovative.
342444a2be67e66af86173ddfe6ec0ef,dull,"the low lighting makes the area feel gloomy,"
342444a2be67e66af86173ddfe6ec0ef,glass,lighting up the world so we can see.
342444a2be67e66af86173ddfe6ec0ef,globe,a globe of the world is contained within a larger globe.
342444a2be67e66af86173ddfe6ec0ef,human achievement,for humans to be able to map out the universe from our tiny home
342444a2be67e66af86173ddfe6ec0ef,imposing,i think the size and scale of the statue makes it look imposing.
342444a2be67e66af86173ddfe6ec0ef,impressive,i think the statue is very large and it looks impressive.
342444a2be67e66af86173ddfe6ec0ef,knowledge,this knowledge made available for everyone to learn
342444a2be67e66af86173ddfe6ec0ef,metal,lots of steal to hold the world together.
342444a2be67e66af86173ddfe6ec0ef,strange,is strange how the globe inside can move.
342444a2be67e66af86173ddfe6ec0ef,wonder,the wonder of the universe and how it works
3441db60bd4eb726d9407ace6fcd688e,abandoned,the child's dirty look makes it seem he's abandoned.
3441db60bd4eb726d9407ace6fcd688e,ancient,the picture in black and white seems it was taken back in the 1900s.
3441db60bd4eb726d9407ace6fcd688e,curious,i cannot tell what the subject is holding. it is darker on the top bit than the rest of it; is it dirty from something? what?
3441db60bd4eb726d9407ace6fcd688e,dry land,the sparse tree and grass indicates the surrounding are is a dry land.
3441db60bd4eb726d9407ace6fcd688e,innocence and curiosity,"the subject's facial expression and body language suggest a moment of quiet observation, reflecting a child's natural curiosity about the world around them."
3441db60bd4eb726d9407ace6fcd688e,inquisitive,i wonder what the subject is looking at; we cannot see as they are pointed looking away from the camera
3441db60bd4eb726d9407ace6fcd688e,interest,"the child appears to be fixated on something, either in the environment or in his own mind."
3441db60bd4eb726d9407ace6fcd688e,isolation,there appears to be other figures in the background but the child is not with them.
3441db60bd4eb726d9407ace6fcd688e,isolation and contemplation,"the contrast between the subject and the blurred background figures creates a sense of solitude, evoking feelings of deep thought or quiet reflection in a moment of stillness."
3441db60bd4eb726d9407ace6fcd688e,loneliness,the child's solitary presence in the image conveys a sense of loneliness.
3441db60bd4eb726d9407ace6fcd688e,melancholy,"the black and white filter makes the photo more melancholy than it would be in color, the shadows on the child's face are emphasized."
3441db60bd4eb726d9407ace6fcd688e,simplicity and resilience,"the worn clothing and modest surroundings highlight a sense of simplicity and perseverance, suggesting a story of strength and adaptability in everyday life."
3441db60bd4eb726d9407ace6fcd688e,summer,"there are leaves on the trees, grass growing, and children usually play outside in summer."
3441db60bd4eb726d9407ace6fcd688e,uncertainty,the body language of the child and posture indicates uncertainty about something
3441db60bd4eb726d9407ace6fcd688e,unhappiness,the child in the image is showing signs of unhappiness
34f04e9f2bb183ada55ae5ae142ce6d,activity,the person is enjoying the outdoors
34f04e9f2bb183ada55ae5ae142ce6d,adventure,the man looks prepared and excited to be taking part in water sports.
34f04e9f2bb183ada55ae5ae142ce6d,adventure,the man in the canoe navigating the fast-flowing water and his close proximity to the cascading waterfall symbolises the thrill of adventure.
34f04e9f2bb183ada55ae5ae142ce6d,coldness,looks attractive but the water would be cold
34f04e9f2bb183ada55ae5ae142ce6d,control,"despite the turbulent water and looming hazards like the waterfall and jagged rock, the man's ability to navigate the canoe demonstrates focus and control."
34f04e9f2bb183ada55ae5ae142ce6d,excitement,kayaking is exciting
34f04e9f2bb183ada55ae5ae142ce6d,exhilaration,the rush of the sport itself
34f04e9f2bb183ada55ae5ae142ce6d,fast flowing,the water looks rough and like it would take resilience to navigate.
34f04e9f2bb183ada55ae5ae142ce6d,kayaking,the image shows a man in a yellow kayak paddling through some rough water. there is a waterfall and rocks in the background.
34f04e9f2bb183ada55ae5ae142ce6d,nature,gives a sense of power in nature
